"updated_label","original_url","old_label","source_article","explanations","rationale"
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://examples.yourdictionary.com/examples-of-logical-fallacy.htmll","My best friend says you’re a liar, so I’m not going to talk to you.","involves acceptance or rejection of concepts based on their source, not their merit","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5dba05d87438e2001aa5613a/fallacy-practice","ad hominem","There's no point listening to your opinion on school lunches. Everybody knows you cheat on your math tests.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5dfa3507a2918c001b19927c/rhetorical-fallacies-practice","ad hominem","Braden, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5fa314fe29f97f001b7e198f/fallacy-quiz","ad hominem","We can't believe what he says out of that ugly mouth of his.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/580a129c8116abe47fbe6964/persuasive-texts","ad hominem","""I knew him in high school and he almost flunked out. He can't be a good choice for mayor.""","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/602c1cfa7ad9b8001dd598fe/logical-fallacy-review","ad hominem","TOPIC: Should people let their cats go outside? DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise."" ""What do you know? You've never even had a pet cat before!""","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5a80d327f21f740021abaa7f/logical-fallacies","ad hominem","Xavier does not deserve to win. He is a smoker and He cheated on his reading quizzes last year.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5ffa8a77952dd8001dc18419/logical-fallacy","ad hominem","Joseph can’t be class president, he’s poor!”","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5d8b58e02e4e1c001a5023ab/fallacies","ad hominem","A mother says that she does not trust her pediatrician because he has never been a mother.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5c414419241683001aad33d8/rhetorical-fallacies","ad hominem","You've never visited another country, so who cares what you say about immigration reform!","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5dd2afe64b69e5001b01d3ad/ethical-fallacies","ad hominem","Why would you trust Paris Hilton to sell health food? She drinks and parties and has multiple partners.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5da73748e438d4001afb00fe/logical-fallacy","ad hominem","J: Cats are better than dogs. V: Dogs are better. J: You are a lazy person. You won't even be able to take care of a dog.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5da73748e438d4001afb00fe/logical-fallacy","ad hominem","People who don't like K-pop are racist.","",""
