"updated_label","original_url","old_label","source_article","explanations","rationale"
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5f866cd09b8715001bf9a88c/identify-logical-fallacies","ad hominem","“We shouldn’t even bother to interview that job applicant. He has a beard.”","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5af3432e02fd7c0019e40cd2/king-hamilton-logical-fallacies","ad hominem","A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5c890a34b355a3001d6addb9/logical-fallacies","ad hominem","Congressman Darell Issa calls White House Spokesperson Jay Carney a ""paid liar.""","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5df92b0aa5d605001fad432c/logical-fallacies-presidential-speeches","ad hominem","BILL CLINTON: But when Joe McCarthy went around this country attacking people’s patriotism, he was wrong. He was wrong. And a senator from Connecticut stood up to him named Prescott Bush. Your father was right to stand up to Joe McCarthy, you were wrong to attack my patriotism. I was opposed to the war but I loved my country… Debate 1, October 11, 1992 St. Louis, Missouri","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5c6cbd74936b92001a45521b/logical-fallacies","ad hominem","I can't understand how such a low performance student is able to talk about politics","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/606f1a28b1113a001b6d6ba2/logical-fallicies","ad hominem","Thanks to her enduring popularity with employees, Annie Smith is the best-liked CEO in our company's history.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/6059f970a5d7c3001da9d533/logical-fallacies","ad hominem","Before I refute my opponent's argument, I would like to draw attention to the fact that he is sweating and clearly does not have much experience on the debate team.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/60241e5e579e66001c40dfbd/logical-fallacies","ad hominem","""You haven't held a steady job since 1992. Worse than that, we couldn't find a single employer who'd provide you with a good reference.""","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5e263688c11931001b7ac19a/logical-fallacies","ad hominem","A Congressman calls a Whitehouse Spokesperson a ""giant idiot""","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5e263688c11931001b7ac19a/logical-fallacies","ad hominem","Don't listen to her even though she's a doctor. She isn't a good person, so her opinion is invalid.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5a0f0600920b9b1100fb5669/logical-fallacy","ad hominem","Billy - ""An apple is a vegetable.""  Bobby - ""Don't listen to Billy; he failed Spanish class last year. ""","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies","ad hominem","That candidate wants to raise the minimum wage, but they aren't even smart enough to run a business.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies","ad hominem","Mrs. Peters is nominated for teacher of the year, which is voted on by her fellow faculty members. A colleague says that she would never vote for her because she is too young.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5fa59387abc53e001b67ecbc/logical-fallacies","ad hominem","Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5af3432e02fd7c0019e40cd2/king-hamilton-logical-fallacies","ad hominem","A parent who says that the teacher doesn't know how to teach because she graduated from a community college.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/606629c9f6277b001bfe66ab/logical-fallacies","ad hominem","Oh please, what do you know about labor laws? You don't even have a job.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5fa5924f4bc06f001bf18f58/logical-fallacy-quiz-swhs","ad hominem","In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5a299094876fa01100a5d10b/logical-fallacy-review","ad hominem","He can't be a great athlete; he didn't adopt the stray dog on the street.","",""
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.","https://quizizz.com/admin/quiz/5b2b2aa736a5270019a279ba/fallacy-quiz-part","ad hominem","""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?""","",""
